MovieId,CastId,Character,ActorId,ActorName,Order
222935,19,"",1279375,Emily Peachey,7
137106,16,Emmet Brickowoski (voice),73457,Chris Pratt,0
137106,13,Wyldstyle (voice),9281,Elizabeth Banks,1
137106,20,President Business (voice),23659,Will Ferrell,2
137106,17,Batman (voice),21200,Will Arnett,3
137106,15,Vitruvius (voice),192,Morgan Freeman,4
137106,22,Bad Cop/Good cop (voice),3896,Liam Neeson,5
137106,23,Uni-Kitty (voice),88029,Alison Brie,6
137106,25,Spaceman Benny (voice),95101,Charlie Day,7
137106,21,Wonder Woman (voice),71189,Cobie Smulders,8
137106,14,Superman (voice),38673,Channing Tatum,9
137106,19,Green Lantern (voice),21007,Jonah Hill,10
137106,24,Craggy (voice),17039,Nick Offerman,11
137106,26,Wally (voice),54697,Dave Franco,12
137106,27,Abraham Lincoln (voice),62831,Will Forte,13
137106,28,C-3PO (voice),6,Anthony Daniels,14
137106,34,Finn,1340685,Jadon Sand,15
53182,6,Themistocles,38664,Sullivan Stapleton,0
53182,7,Artemisia,10912,Eva Green,1
53182,13,Queen Gorgo,17286,Lena Headey,2
53182,10,Scylias,208296,Callan Mulvey,3
53182,14,Dillios,1371,David Wenham,4
53182,8,Xerxes,17289,Rodrigo Santoro,5
53182,9,Calisto,85065,Jack O'Connell,6
53182,11,Ephialtes,17290,Andrew Tiernan,7
53182,12,General Bandari,766,Ashraf Barhom,8
53182,15,Daxos,17291,Andrew Pleavin,9
53182,17,Aesyklos,37168,Hans Matheson,10
53182,18,King Darius,953522,Igal Naor,11
86834,4,Noah,934,Russell Crowe,0
86834,5,Naameh,6161,Jennifer Connelly,1
86834,6,Ila,10990,Emma Watson,2
86834,9,Ham,33235,Logan Lerman,3
86834,7,Shem,230680,Douglas Booth,4
86834,8,Methuselah,4173,Anthony Hopkins,5
86834,25,Tubal Cain,5538,Ray Winstone,6
86834,26,Og,79072,Kevin Durand,7
86834,27,Eve,1274232,Ariane Rinehart,8
86834,28,Shem,230680,Douglas Booth,9
86834,29,Lamech,20982,Marton Csokas,10
86834,30,Young Noah,234479,Dakota Goyo,11
86834,31,Poacher Leader,183538,Barry Sloane,12
86834,32,Sami,506085,Sami Gayle,13
86834,33,Magog (voice),1173,Mark Margolis,14
86834,34,Tubal Cain,5538,Ray Winstone,15
86834,35,Samyaza (voice),1733,Nick Nolte,16
157845,1,Reynolds,11288,Robert Pattinson,0
157845,2,Eric,529,Guy Pearce,1
157845,6,Henry,59233,Scoot McNairy,2
157845,7,Town Soldier,75131,Nash Edgerton,3
157845,8,Sgt. Rickofferson,75711,Anthony Hayes,4
157845,9,Dot,76069,Susan Prior,5
157845,10,Grandma,75540,Gillian Jones,6
157845,11,Caleb,1291958,Tawanda Manyimo,7
144336,9,John 'Breacher' Wharton,1100,Arnold Schwarzenegger,0
144336,10,James 'Monster' Murray,65731,Sam Worthington,1
144336,12,Lizzy Murray,175826,Mireille Enos,3
144336,13,Joe 'Grinder' Phillips,20580,Joe Manganiello,4
144336,14,Jackson,6195,Harold Perrineau Jr.,5
144336,15,Eddie 'Neck' Jordan,142636,Josh Holloway,6
144336,16,Julius 'Sugar' Edmonds,18288,Terrence Howard,7
144336,17,Investigator Caroline Brentwood,11616,Olivia Williams,8
144336,18,Tom 'Pyro' Roberts,94864,Max Martini,9
144336,19,Bryce 'Tripod' McNeely,1345133,Kevin Vance,10
144336,20,'Smoke' Jennings,1345134,Mark Schlegel,11
144336,21,Sapo,48530,Maurice Compte,12
26973,1,Violet,15110,Brooke Shields,0
26973,2,Bellocq,30613,Keith Carradine,1
26973,3,Hattie,4038,Susan Sarandon,2
26973,4,Nell,115187,Frances Faye,3
26973,5,Professor,84878,Antonio Fargas,4
26973,6,Red Top,115188,Matthew Anton,5
26973,7,Frieda,2958,Diana Scarwid,6
26973,12,Josephine,5685,Barbara Steele,7
241254,4,Omar,62,Bruce Willis,0
241254,5,Paul,12261,Jason Patric,1
241254,6,Sam,3036,John Cusack,2
241254,11,Angela,84698,Jessica Lowndes,3
241254,9,Beth,137424,Gia Mantegna,4
241254,10,Mark,112013,Rain,5
241254,7,The Pharmacy,62644,50 Cent,6
241254,12,Riley,1280,Don Harvey,7
241254,13,Wilson,139197,Jesse Pruett,8
241254,14,Rachel,1363621,Didi Costine,9
241254,15,Susan,66579,Bonnie Somerville,10
241254,16,Jimmy,125332,Tim Fields,11
241254,8,Frank,1276378,Jonathon Schaech,12
241254,17,Janine,1363622,Andrea Burns,13
241254,18,Justin,1363623,Jim Bennett,14
200505,1,Sonny Weaver Jr.,1269,Kevin Costner,0
200505,2,Ali,9278,Jennifer Garner,1
200505,3,Brian Drew,11824,Tom Welling,2
200505,4,"",16431,Sam Elliott,3
200505,5,Earl Jennings,53256,Terry Crews,4
200505,6,Barb Weaver,9560,Ellen Burstyn,5
200505,7,Angie,2165,Rosanna Arquette,6
200505,8,Harvey Molina,8924,Frank Langella,7
200505,9,Walt Gordon,8687,Chi McBride,8
200505,10,Vince Penn,5724,Denis Leary,9
200505,11,Tom Michaels,117437,Patrick St. Esprit,10
200505,12,Max Stone,20379,Christopher Cousins,11
200505,13,Vontae Mack,172069,Chadwick Boseman,12
200505,14,O'Reilly,51930,Wade Williams,13
200505,15,Ralph Mowry,6951,W. Earl Brown,14
200505,16,Marvin,14721,Kevin Dunn,15
200505,17,NFL Commissioner,10138,Brian Haley,16
200505,21,Rick the Intern,225377,Griffin Newman,17
189,5,Marv,2295,Mickey Rourke,0
189,3,Nancy,56731,Jessica Alba,1
189,16,Dwight,16851,Josh Brolin,2
189,13,Johnny,24045,Joseph Gordon-Levitt,3
189,8,Gail,5916,Rosario Dawson,4
189,24,Hartigan,62,Bruce Willis,5
189,18,Ava,10912,Eva Green,6
189,17,Senator Roark,6280,Powers Boothe,7
189,14,Manute,352,Dennis Haysbert,8
189,20,Joey,11477,Ray Liotta,9
189,21,Mort,22227,Christopher Meloni,10
189,27,Bob,12799,Jeremy Piven,11
189,28,Kroenig,1062,Christopher Lloyd,12
189,7,Goldie / Wendy,5915,Jaime King,13
189,23,Sally,36594,Juno Temple,14
189,19,Wallenquist,825,Stacy Keach,15
189,29,Damien Lord,20982,Marton Csokas,16
189,30,Lt. Liebowitz,8693,Jude Ciccolella,17
189,15,Miho,78324,Jamie Chung,18
189,31,Bertha,237405,Lady Gaga,20
189,32,Gilda,57674,Alexa PenaVega,21
276690,0,Ryu,1324443,Mike Moh,1
276690,1,Ken Masters,1265254,Christian Howard,2
276690,3,Young Gouken,112831,Akira Koieyama,4
276690,4,Young Gouken,1324446,Shogen Itokazu,5
276690,5,Gouki,1324448,Gaku Space,6
276690,6,Sayaka,1324449,Hyunri Lee,7
276690,7,Goutetsu / Goma,1324450,Togo Igawa,8
276690,8,Mr. Masters (Ken's father),1324450,Togo Igawa,9
276690,9,Senzo,142290,Mark Killeen,10
276690,10,Akuma,29406,Joey Ansah,11
276690,11,Ono,1149054,Yoshinori Ono,12
126172,2,Leprechaun / Lubdan,1082302,Dylan Postl,0
20352,3,Gru (voice),4495,Steve Carell,0
